species id	species lat	species eng	species heb	label eng	label heb	label heb 2				
5	Podiceps nigricollis	Black-necked Grebe	טבלן בינוני	tavlanb	טבלןב					
6	Tachybaptus ruficollis	Little Grebe	טבלן גמדי	tavlang	טבלןג	טבלן				
7	Podiceps cristatus	Great Crested Grebe	טבלן מצויץ	tavlanm	טבלןמ					
33	Phalacrocorax carbo	Great Cormorant	קורמורן גדול	kormorang	קורמורןג					
34	Phalacrocorax pygmeus	Pygmy Cormorant	קורמורן גמדי	kormorank	קורמורן					
37	Pelecanus onocrotalus	White Pelican	שקנאי לבן	saknai	שקנאי					
40	Botaurus stellaris	Great Bittern	אנפה משורטטת	anafam	אנפהמ					
41	Ixobrychus minutus	Little Bittern	אנפית גמדית	anafag	אנפהג					
42	Nycticorax nycticorax	Black-crowned Night Heron	אנפת לילה	anafatl	אנפתל					
43	Butorides striatus	Mangrove Heron	אנפית מנגרובים	anafitm	אנפיתמ					
45	Bubulcus ibis	Cattle Egret	אנפית בקר	anafitb	אנפיתב					
46	Ardeola ralloides	Squacco Heron	אנפית סוף	anafits	אנפיתס					
47	Egretta garzetta	Little Egret	לבנית קטנה	livnitk	לבניתק					
49	Casmerodius albus	Great Egret	לבנית גדולה	livnitg	לבניתג					
50	Ardea cinerea	Grey Heron	אנפה אפורה	anafaaf	אנפהאפ					
51	Ardea purpurea	Purple Heron	אנפה ארגמנית	anafaar	אנפהאר					
57	Ciconia ciconia	White Stork	חסידה לבנה	hasidal	חסידה					
58	Ciconia nigra	Black Stork	חסידה שחורה	hasidash	חסידהש					
59	Plegadis falcinellus	Glossy Ibis	מגלן חום	maglan	מגלן					
61	Platalea leucorodia	Eurasian Spoonbill	כפן 	kapan	כפן					
62	Phoenicopterus ruber	Greater Flamingo	פלמינגו מצוי	flamingo	פלמינגו					
64	Cygnus olor	Mute Swan	ברבור מצוי	barbur	ברבור					
67	Anser albifrons	Greater White-fronted Goose	אווז לבן מצח	avazl	אווזלמ					
69	Anser anser	Greylag Goose	אווז אפור	avaza	אווזא					
74	Alopochen aegyptiacus	Egyptian Goose	יאורית מצרית	yeorit	יאורית					
75	Tadorna tadorna	Common Shelduck	טדורנה ירוקת ראש	tadorna	טדורנה					
76	Tadorna ferruginea	Ruddy Shelduck	קזרקה חלודית	kazarka	קזרקה					
77	Anas platyrhynchos	Mallard	ברכיה	brehia	ברכיה					
78	Anas strepera	Gadwall	ברווז אפור	barvaza	ברווזא					
79	Anas acuta	Northern Pintail	ברווז חד זנב	barvazh	ברווזחז					
80	Anas clypeata	Northern Shoveler	מרית	marit	מרית					
81	Anas penelope	Eurasian Wigeon	ברווז צהוב מצח	barvazz	ברווזצמ	ברווזצ				
82	Anas crecca	Common Teal	שרשיר	sharshir	שרשיר					
85	Anas querquedula	Garganey	קרקיר	karkir	קרקיר					
86	Marmaronetta angustirostris	Marbled Duck	ברווז משויש	barvazm	ברווזמ					
87	Aythya ferina	Common Pochard	צולל חלודי	tsolelh	צוללח					
88	Netta rufina	Red-crested Pochard	נטה אדומת ראש	nata	נטה					
90	Aythya nyroca	Ferruginous Duck	צולל ביצות	tsolelb	צוללב					
92	Aythya fuligula	Tufted Duck	צולל מצויץ	tsolelm	צוללמ					
100	Oxyura leucocephala	White-headed Duck	צחראש לבן	tsahrosh	צחראש					
103	Gyps fulvus	Eurasian Griffon Vulture	נשר מקראי	nesher	נשר					
104	Aegypius monachus	Cinereous Vulture	עזנייה שחורה	oznia	עזנייה					
106	Neophron percnopterus	Egyptian Vulture	רחם מדברי	raham	רחם					
107	Haliaeetus albicilla	White-tailed Eagle	עיטם לבן זנב	eitam	עיטם					
108	Aquila chrysaetos	Golden Eagle	עיט זהוב	aitz	עיטז					
109	Aquila heliaca	Eastern Imperial Eagle	עיט שמש	aitsh	עיטש					
110	Aquila pomarina	Lesser Spotted Eagle	עיט חורש	aith	עיטח					
111	Aquila clanga	Greater Spotted Eagle	עיט צפרדעים	aitts	עיטצ					
112	Aquila nipalensis	Steppe Eagle	עיט ערבות	aita	עיטע					
116	Circaetus gallicus	Short-toed Eagle	חיוויאי הנחשים	hivyai	חיוויאי	חויאי				
117	Hieraaetus pennatus	Booted Eagle	עיט גמדי	aitg	עיטג					
118	Hieraaetus fasciatus	Bonelli's Eagle	עיט ניצי	aitn	עיטנ					
120	Milvus migrans	Black Kite	דיה שחורה	dayash	דיה					
122	Circus aeruginosus	Marsh Harrier	זרון סוף	zeronsu	זרוןס					
123	Elanus caeruleus	Black-winged Kite	דאה שחורת כתף	dea	דאה					
124	Circus cyaneus	Hen Harrier	זרון תכול	zerot	זרוןת					
125	Circus pygargus	Montagu's Harrier	זרון פס	zeronp	זרוןפ					
126	Circus macrourus	Pallid Harrier	זרון שדות	zeronsa	זרוןש					
128	Buteo rufinus	Long-legged Buzzard	עקב עיטי	akavi	עקבע					
129	Buteo buteo	Common Buzzard	עקב חורף	akavh	עקבח					
130	Pernis apivorus	European Honey Buzzard	איית צרעים	ayyat	איה					
131	Pernis ptilorhynchus	Crested Honey Buzzard	איה מצויצת	aya	איהמ					
132	Accipiter nisus	Eurasian Sparrowhawk	נץ מצוי	nets	נץ					
134	Accipiter brevipes	Levant Sparrowhawk	נץ קצר אצבעות	netsk	נץקא					
137	Pandion haliaetus	Osprey	שלך	shalah	שלך					
138	Falco tinnunculus	Common Kestrel	בז מצוי	baz	בז					
139	Falco naumanni	Lesser Kestrel	בז אדום	baza	בזא					
140	Falco vespertinus	Red-footed Falcon	בז ערב	bazer	בזער					
141	Falco subbuteo	Eurasian Hobby	בז עצים	bazets	בזעצ					
142	Falco eleonorae	Eleonora's Falcon	בז חופים	bazh	בזח					
144	Falco peregrinus	Peregrine Falcon	בז נודד	bazn	בזנ					
146	Falco columbarius	Merlin	בז גמדי	bazg	בזג					
149	Francolinus francolinus	Black Francolin	פרנקולין שחור	francolin	פרנקולין	frankolin				
150	Alectoris chukar	Chukar	חוגלת סלעים	hogla	חוגלה					
152	Coturnix coturnix	Common Quail	שליו נודד	slav	שליו					
153	Crex crex	Corncrake	מלכישליו חלודי	malkislav	מלכישליו					
154	Rallus aquaticus	Water Rail	רלית המים	ralit	רלית					
155	Porzana porzana	Spotted Crake	ברודית גדולה	broditgd	ברודיתגד					
